comment_id,index,label_logprobs
47777,0,"{'0': -0.013358613476157188, '1': -4.9039835929870605, '2': -5.7164835929870605, '3': -6.0289835929870605, '4': -9.091484069824219}"
39773,1,"{'0': -0.00032634177478030324, '1': -8.875326156616211, '3': -9.125326156616211, '2': -9.984701156616211, '4': -10.828451156616211}"
47101,2,"{'4': -0.033694759011268616, '3': -3.4086947441101074, '2': -10.627445220947266, '1': -12.643070220947266, '0': -15.627445220947266}"
43625,3,"{'3': -0.09198154509067535, '4': -2.8732316493988037, '2': -3.7013566493988037, '1': -5.060731410980225, '0': -9.810731887817383}"
12538,4,"{'4': -0.0014846028061583638, '3': -6.595234394073486, '2': -10.907734870910645, '1': -11.829609870910645, '0': -11.884297370910645}"
11001,5,"{'1': -0.8161379098892212, '3': -1.3317629098892212, '2': -1.4411379098892212, '0': -3.0192627906799316, '4': -4.831762790679932}"
13168,6,"{'4': -0.004397840239107609, '3': -5.441897869110107, '2': -10.91064739227295, '1': -12.59814739227295, '0': -14.48877239227295}"
17034,7,"{'4': -4.8040190449682996e-05, '3': -10.12504768371582, '2': -14.48442268371582, '1': -14.89067268371582, '0': -15.28911018371582}"
40171,8,"{'4': -0.04862741380929947, '3': -3.0486273765563965, '2': -10.876752853393555, '1': -12.548627853393555, '0': -15.173627853393555}"
1006,9,"{'4': -0.00012909532233607024, '3': -9.109503746032715, '2': -13.211066246032715, '1': -14.187628746032715, '0': -14.718878746032715}"
23643,10,"{'0': -0.0002097863471135497, '1': -9.28145980834961, '2': -9.48458480834961, '3': -10.40645980834961, '4': -12.62520980834961}"
14241,11,"{'3': -0.4171711802482605, '4': -1.0890462398529053, '2': -5.526546001434326, '1': -7.557796001434326, '0': -11.932796478271484}"
20583,12,"{'0': -0.07160397619009018, '1': -3.118479013442993, '2': -3.837229013442993, '3': -5.727853775024414, '4': -9.930978775024414}"
30879,13,"{'3': -0.8493055701255798, '2': -1.2086806297302246, '1': -1.5993056297302246, '0': -3.0211806297302246, '4': -3.8336806297302246}"
29527,14,"{'4': -0.035998329520225525, '3': -3.3641233444213867, '2': -7.832873344421387, '1': -9.270373344421387, '0': -10.707873344421387}"
23016,15,"{'4': -0.04421554505825043, '3': -3.153590440750122, '2': -8.028590202331543, '1': -9.247340202331543, '0': -11.231715202331543}"
22819,16,"{'3': -0.3084515929222107, '4': -1.7303266525268555, '2': -2.9022016525268555, '1': -3.4490766525268555, '0': -6.6053266525268555}"
