comment_id,index,label_logprobs
47777,0,"{'2': -0.1023993194103241, '1': -2.5242743492126465, '0': -4.0867743492126465, '3': -7.7742743492126465, '4': -13.946148872375488}"
39773,1,"{'0': -0.30012837052345276, '1': -1.6595033407211304, '2': -2.70637845993042, '3': -6.12825345993042, '4': -9.378252983093262}"
47101,2,"{'3': -0.3770228326320648, '4': -1.1582728624343872, '2': -9.548897743225098, '1': -15.705147743225098, '0': -17.595773696899414}"
43625,3,"{'2': -0.34198498725891113, '3': -1.7638599872589111, '1': -2.138859987258911, '0': -7.779484748840332, '4': -9.873234748840332}"
12538,4,"{'4': -0.0032377224415540695, '3': -5.737612724304199, '2': -11.5501127243042, '0': -15.1751127243042, '1': -15.5579252243042}"
11001,5,"{'2': -0.14734600484371185, '1': -2.069221019744873, '3': -4.553596019744873, '0': -8.631720542907715, '4': -11.256720542907715}"
13168,6,"{'4': -0.06109461560845375, '3': -2.8267195224761963, '2': -9.748594284057617, '1': -14.498594284057617, '0': -15.795469284057617}"
17034,7,"{'4': -0.004552239086478949, '3': -5.395177364349365, '2': -12.598301887512207, '1': -16.707677841186523, '0': -17.551427841186523}"
40171,8,"{'3': -0.03450067341327667, '4': -3.4095005989074707, '2': -7.065750598907471, '1': -14.136063575744629, '0': -16.753250122070312}"
1006,9,"{'4': -0.023284347727894783, '3': -3.773284435272217, '2': -10.179533958435059, '1': -14.085783958435059, '0': -15.437346458435059}"
23643,10,"{'0': -0.38462263345718384, '1': -1.478372573852539, '2': -2.400247573852539, '3': -7.447122573852539, '4': -12.165872573852539}"
14241,11,"{'2': -0.4096236228942871, '1': -1.378373622894287, '3': -2.487748622894287, '0': -6.940873622894287, '4': -9.956499099731445}"
20583,12,"{'2': -0.16554217040538788, '1': -1.9311671257019043, '0': -5.056167125701904, '3': -6.712417125701904, '4': -13.556167602539062}"
30879,13,"{'3': -0.47904181480407715, '2': -1.0102918148040771, '1': -4.166542053222656, '4': -7.400917053222656, '0': -7.838417053222656}"
29527,14,"{'4': -0.006132121197879314, '3': -5.099882125854492, '2': -11.053007125854492, '1': -16.131132125854492, '0': -16.810819625854492}"
23016,15,"{'3': -0.09854496270418167, '4': -2.5985450744628906, '2': -3.9891700744628906, '1': -7.067295074462891, '0': -9.25479507446289}"
22819,16,"{'3': -0.03580040484666824, '2': -3.4576754570007324, '4': -5.645175457000732, '1': -8.957674980163574, '0': -13.832674980163574}"
36534,17,"{'4': -0.0699673518538475, '3': -2.694967269897461, '2': -10.382467269897461, '1': -15.351217269897461, '0': -16.85121726989746}"
7287,18,"{'4': -0.0019299230771139264, '3': -6.251929759979248, '2': -13.580055236816406, '1': -18.290992736816406, '0': -18.642555236816406}"
32074,19,"{'0': -0.06164329871535301, '2': -3.030393362045288, '1': -4.467893123626709, '3': -11.202268600463867, '4': -16.303831100463867}"
46526,20,"{'3': -0.05636903643608093, '2': -2.9313690662384033, '4': -6.540743827819824, '1': -10.071993827819824, '0': -16.30636978149414}"
30683,21,"{'3': -0.02449648454785347, '2': -4.290121555328369, '4': -4.571371555328369, '1': -8.836996078491211, '0': -11.946371078491211}"
15758,22,"{'2': -0.2773699462413788, '1': -1.7148699760437012, '3': -2.839869976043701, '0': -5.605494976043701, '4': -8.964869499206543}"
14868,23,"{'0': -0.05335165932774544, '2': -3.053351640701294, '1': -5.350226879119873, '3': -12.037726402282715, '4': -17.02991485595703}"
11817,24,"{'4': -0.0070386785082519054, '3': -4.960163593292236, '2': -13.069539070129395, '1': -17.569538116455078, '0': -18.288288116455078}"
4373,25,"{'1': -0.8347076177597046, '2': -1.3972076177597046, '3': -1.4128326177597046, '0': -2.678457736968994, '4': -5.022207736968994}"
1323,26,"{'0': -0.5572406053543091, '1': -0.9947406053543091, '2': -2.8853654861450195, '3': -6.4791154861450195, '4': -10.66661548614502}"
38126,27,"{'3': -0.06913457810878754, '2': -2.850384473800659, '4': -5.037884712219238, '1': -6.006634712219238, '0': -10.522259712219238}"
26362,28,"{'2': -0.2319381684064865, '1': -1.606938123703003, '0': -5.294438362121582, '3': -6.513188362121582, '4': -13.786625862121582}"
5410,29,"{'3': -0.042461466044187546, '2': -3.433086395263672, '4': -4.683086395263672, '1': -10.276836395263672, '0': -14.284648895263672}"
39276,30,"{'4': -0.03815031424164772, '3': -3.2881503105163574, '2': -9.178775787353516, '1': -12.210025787353516, '0': -14.006900787353516}"
32811,31,"{'4': -0.5632516145706177, '3': -0.8445016145706177, '2': -7.063251495361328, '1': -10.985126495361328, '0': -14.016376495361328}"
33729,32,"{'2': -0.3509232699871063, '1': -1.4446732997894287, '3': -2.9290482997894287, '0': -5.02279806137085, '4': -9.163423538208008}"
47480,33,"{'3': -0.03553295508027077, '2': -3.5980329513549805, '4': -4.9730329513549805, '1': -7.4261579513549805, '0': -11.17615795135498}"
10694,34,"{'0': -0.02307922951877117, '1': -3.9605791568756104, '2': -5.5855793952941895, '3': -11.398078918457031, '4': -16.69495391845703}"
1031,35,"{'4': -0.15627117455005646, '3': -2.04689621925354, '2': -4.562520980834961, '0': -5.640645980834961, '1': -6.468770980834961}"
48834,36,"{'3': -0.10301753878593445, '2': -2.384267568588257, '1': -5.353017330169678, '4': -6.915517330169678, '0': -11.993642807006836}"
43341,37,"{'4': -0.14907294511795044, '3': -1.9771978855133057, '2': -10.211572647094727, '1': -15.508447647094727, '0': -16.735010147094727}"
47870,38,"{'3': -0.04959587752819061, '2': -3.112095832824707, '4': -5.862095832824707, '1': -6.877720832824707, '0': -12.783970832824707}"
49895,39,"{'0': -0.004218964371830225, '2': -5.613594055175781, '1': -7.488594055175781, '3': -12.816719055175781, '4': -16.70734405517578}"
37291,40,"{'4': -0.40229156613349915, '3': -1.1054165363311768, '2': -8.871041297912598, '1': -14.042916297912598, '0': -15.699166297912598}"
11121,41,"{'3': -0.04152849316596985, '4': -3.3227784633636475, '2': -5.385278701782227, '1': -10.088403701782227, '0': -14.979028701782227}"
38307,42,"{'4': -0.0710562914609909, '3': -2.680431365966797, '2': -9.789806365966797, '1': -14.180431365966797, '0': -15.352306365966797}"
19352,43,"{'1': -0.7403497695922852, '2': -0.8184747695922852, '0': -2.521599769592285, '3': -6.427849769592285, '4': -13.154412269592285}"
24301,44,"{'2': -0.714153528213501, '1': -1.089153528213501, '0': -1.807903528213501, '3': -4.620403289794922, '4': -9.995403289794922}"
23452,45,"{'2': -0.3200889825820923, '1': -1.6169639825820923, '0': -3.2575888633728027, '3': -3.3044638633728027, '4': -8.445089340209961}"
886,46,"{'2': -0.8084388971328735, '3': -0.9490638971328735, '1': -1.7928138971328735, '0': -7.464688777923584, '4': -8.183439254760742}"
32374,47,"{'3': -0.23995116353034973, '4': -1.5524511337280273, '2': -6.458701133728027, '1': -10.380576133728027, '0': -11.802451133728027}"
25790,48,"{'3': -0.03549567982554436, '4': -3.5511207580566406, '2': -5.097995758056641, '1': -9.61362075805664, '0': -12.25424575805664}"
5611,49,"{'2': -0.3676782250404358, '1': -1.195803165435791, '0': -5.789553165435791, '3': -6.148928165435791, '4': -12.46142864227295}"
44643,50,"{'3': -0.04850613325834274, '4': -3.282881021499634, '2': -4.657881259918213, '1': -8.032880783081055, '0': -10.970380783081055}"
31537,51,"{'3': -0.148239403963089, '4': -1.9919893741607666, '2': -6.616989612579346, '1': -11.312301635742188, '0': -13.195114135742188}"
11238,52,"{'4': -0.0493636354804039, '3': -3.033738613128662, '2': -10.43998908996582, '1': -14.72123908996582, '0': -16.02592658996582}"
19943,53,"{'3': -0.14901112020015717, '2': -2.0396361351013184, '1': -5.258386135101318, '4': -5.774011135101318, '0': -9.83651065826416}"
20844,54,"{'4': -0.0008628221112303436, '3': -7.1102375984191895, '2': -10.110238075256348, '0': -12.313363075256348, '1': -14.438363075256348}"
39016,55,"{'4': -0.0014612721279263496, '3': -6.532711505889893, '2': -12.282711029052734, '1': -15.142086029052734, '0': -15.267086029052734}"
42490,56,"{'0': -0.7583906054496765, '2': -1.0240156650543213, '1': -1.7583906650543213, '3': -9.133390426635742, '4': -14.461515426635742}"
1402,57,"{'2': -0.17333798110485077, '3': -2.438962936401367, '1': -2.657712936401367, '0': -6.392087936401367, '4': -9.095212936401367}"
41581,58,"{'3': -1.077150583267212, '1': -1.280275583267212, '0': -1.639650583267212, '2': -1.764650583267212, '4': -4.124025344848633}"
