comment_id,index,label_logprobs
47777,0,"{'2': -0.982205867767334, '3': -0.982205867767334, '1': -1.591580867767334, '0': -3.154080867767334, '4': -5.419705867767334}"
39773,1,"{'2': -1.170456051826477, '0': -1.186081051826477, '1': -1.607956051826477, '3': -1.748581051826477, '4': -4.7642059326171875}"
47101,2,"{'3': -0.3618795573711395, '4': -1.221254587173462, '2': -4.893129348754883, '1': -6.877504348754883, '0': -10.486879348754883}"
43625,3,"{'3': -0.13771669566631317, '4': -2.528341770172119, '2': -3.184591770172119, '1': -5.168966770172119, '0': -8.778341293334961}"
12538,4,"{'4': -0.2888428270816803, '3': -1.476342797279358, '2': -5.476342678070068, '1': -7.132592678070068, '0': -7.741967678070068}"
11001,5,"{'3': -0.3880951702594757, '2': -2.0130951404571533, '4': -2.3099701404571533, '1': -2.7162201404571533, '0': -3.8568451404571533}"
13168,6,"{'4': -0.42723482847213745, '3': -1.0678598880767822, '2': -5.942859649658203, '1': -7.583484649658203, '0': -9.903797149658203}"
17034,7,"{'4': -0.03764874488115311, '3': -3.3345236778259277, '2': -7.131398677825928, '1': -8.568899154663086, '0': -10.686086654663086}"
40171,8,"{'4': -0.5454442501068115, '3': -0.8735692501068115, '2': -5.936069488525391, '1': -8.42044448852539, '0': -11.75638198852539}"
1006,9,"{'4': -0.22673995792865753, '3': -1.6329900026321411, '2': -6.007989883422852, '1': -7.632989883422852, '0': -9.015802383422852}"
23643,10,"{'0': -0.6940613389015198, '1': -1.053436279296875, '2': -1.975311279296875, '3': -4.381561279296875, '4': -8.756561279296875}"
14241,11,"{'3': -0.2250072956085205, '4': -2.0062572956085205, '2': -3.0062572956085205, '1': -4.131257057189941, '0': -6.725007057189941}"
20583,12,"{'3': -0.4475495219230652, '2': -1.49442458152771, '1': -2.10379958152771, '0': -4.760049343109131, '4': -5.181924343109131}"
30879,13,"{'3': -0.12870505452156067, '4': -2.8005800247192383, '2': -3.0974550247192383, '1': -4.331830024719238, '0': -7.128705024719238}"
29527,14,"{'3': -0.2625921666622162, '4': -1.6063421964645386, '2': -3.996967077255249, '1': -4.809467315673828, '0': -6.403217315673828}"
23016,15,"{'3': -0.21083581447601318, '4': -1.8202108144760132, '2': -4.117085933685303, '1': -5.335835933685303, '0': -7.617085933685303}"
22819,16,"{'3': -0.263391375541687, '4': -1.950891375541687, '2': -2.8415164947509766, '1': -3.6852664947509766, '0': -5.325891494750977}"
36534,17,"{'4': -0.14827917516231537, '3': -1.9920291900634766, '2': -6.976404190063477, '1': -8.554529190063477, '0': -10.952966690063477}"
7287,18,"{'3': -0.6641519665718079, '4': -0.7422769665718079, '2': -5.023527145385742, '1': -6.586027145385742, '0': -9.203214645385742}"
32074,19,"{'2': -1.0987693071365356, '0': -1.1456443071365356, '1': -1.2706443071365356, '3': -2.708144187927246, '4': -7.036269187927246}"
46526,20,"{'3': -0.18313199281692505, '4': -1.9956319332122803, '2': -3.6518819332122803, '1': -5.323757171630859, '0': -8.08938217163086}"
30683,21,"{'3': -0.24554863572120667, '4': -1.6205486059188843, '2': -4.120548725128174, '1': -5.729923725128174, '0': -8.917423248291016}"
15758,22,"{'3': -0.22333721816539764, '4': -1.895212173461914, '2': -3.285837173461914, '1': -4.488962173461914, '0': -6.910837173461914}"
14868,23,"{'2': -0.7191861271858215, '1': -1.0941860675811768, '3': -1.8441860675811768, '0': -3.9691860675811768, '4': -7.203561305999756}"
11817,24,"{'3': -0.516785204410553, '4': -0.923035204410553, '2': -5.282410144805908, '1': -7.313660144805908, '0': -10.360535621643066}"
4373,25,"{'3': -0.759033203125, '2': -1.649658203125, '0': -1.790283203125, '1': -1.993408203125, '4': -3.368408203125}"
1323,26,"{'1': -0.5894296765327454, '2': -1.0113046169281006, '0': -2.8706796169281006, '3': -3.6988046169281006, '4': -10.27692985534668}"
38126,27,"{'3': -0.15075436234474182, '4': -2.150754451751709, '2': -3.963254451751709, '1': -5.775754451751709, '0': -9.18200397491455}"
26362,28,"{'3': -0.44227316975593567, '2': -1.4735231399536133, '1': -2.3797731399536133, '4': -3.8016481399536133, '0': -4.379773139953613}"
5410,29,"{'3': -0.2865106463432312, '4': -1.599010705947876, '2': -3.411510705947876, '1': -4.474010467529297, '0': -6.364635467529297}"
39276,30,"{'3': -0.3417106568813324, '4': -1.3573356866836548, '2': -3.7635855674743652, '1': -5.044835567474365, '0': -7.419835567474365}"
32811,31,"{'3': -0.2919115722179413, '4': -1.8231616020202637, '2': -2.8075366020202637, '1': -3.7294116020202637, '0': -5.291911602020264}"
33729,32,"{'3': -0.31235262751579285, '4': -1.5779776573181152, '2': -3.1717276573181152, '1': -4.202977657318115, '0': -5.718602657318115}"
47480,33,"{'3': -0.3366866111755371, '4': -1.305436611175537, '2': -4.414811611175537, '1': -6.055436611175537, '0': -9.258562088012695}"
10694,34,"{'1': -0.6392143368721008, '2': -1.045464277267456, '0': -2.779839277267456, '3': -2.842339277267456, '4': -8.904839515686035}"
1031,35,"{'4': -0.7186293601989746, '3': -0.7498793601989746, '2': -4.640504360198975, '1': -5.874879360198975, '0': -6.828004360198975}"
48834,36,"{'3': -0.12082211673259735, '4': -2.5114471912384033, '2': -3.6364471912384033, '1': -5.120821952819824, '0': -8.527071952819824}"
43341,37,"{'4': -0.6117505431175232, '3': -0.8148755431175232, '2': -5.471125602722168, '1': -6.986750602722168, '0': -9.150813102722168}"
47870,38,"{'3': -0.20183388888835907, '4': -1.7799588441848755, '2': -4.451833724975586, '1': -6.154958724975586, '0': -9.733083724975586}"
49895,39,"{'0': -0.6465038657188416, '1': -1.6621289253234863, '2': -1.8965039253234863, '3': -2.0683789253234863, '4': -4.646503925323486}"
37291,40,"{'3': -0.70209139585495, '4': -0.70209139585495, '2': -4.967716217041016, '1': -6.467716217041016, '0': -9.202091217041016}"
11121,41,"{'3': -0.19010528922080994, '4': -2.4244801998138428, '2': -2.8151051998138428, '1': -3.7994801998138428, '0': -6.580730438232422}"
38307,42,"{'3': -0.26331406831741333, '2': -2.2320640087127686, '4': -2.8883140087127686, '1': -3.0445640087127686, '0': -4.544564247131348}"
19352,43,"{'2': -0.8943243026733398, '1': -0.9568243026733398, '3': -1.9568243026733398, '0': -2.73807430267334, '4': -7.39432430267334}"
24301,44,"{'3': -0.703402578830719, '2': -1.2502775192260742, '1': -1.7659025192260742, '0': -3.234652519226074, '4': -4.828402519226074}"
23452,45,"{'3': -0.28381404280662537, '2': -2.236938953399658, '1': -2.611938953399658, '0': -3.393188953399658, '4': -3.424438953399658}"
886,46,"{'3': -0.6804665923118591, '4': -0.7273415923118591, '2': -4.852341651916504, '1': -6.367966651916504, '0': -8.961716651916504}"
32374,47,"{'4': -0.5584021210670471, '3': -0.8709021210670471, '2': -5.027152061462402, '1': -6.667777061462402, '0': -9.003714561462402}"
25790,48,"{'3': -0.2590358853340149, '4': -1.6184108257293701, '2': -3.82153582572937, '1': -4.946536064147949, '0': -7.196536064147949}"
5611,49,"{'3': -0.33514460921287537, '2': -1.9601446390151978, '4': -2.382019519805908, '1': -3.132019519805908, '0': -4.975769519805908}"
44643,50,"{'3': -0.1144997701048851, '4': -2.567624807357788, '2': -3.676999807357788, '1': -5.145749568939209, '0': -8.927000045776367}"
31537,51,"{'3': -0.5093765258789062, '4': -0.9312515258789062, '2': -5.587501525878906, '1': -6.853126525878906, '0': -9.431251525878906}"
11238,52,"{'4': -0.20448987185955048, '3': -1.704489827156067, '2': -6.141989707946777, '1': -7.470114707946777, '0': -9.735739707946777}"
19943,53,"{'3': -0.14969635009765625, '2': -2.5715713500976562, '4': -3.2590713500976562, '1': -3.8371963500976562, '0': -6.930946350097656}"
20844,54,"{'3': -0.4943336844444275, '4': -1.0099587440490723, '2': -4.306833744049072, '1': -5.056833744049072, '0': -6.369333744049072}"
39016,55,"{'4': -0.2690564692020416, '3': -1.4878064393997192, '2': -5.62843132019043, '1': -7.56593132019043, '0': -9.26905632019043}"
42490,56,"{'3': -0.9299827814102173, '2': -1.2581077814102173, '1': -1.7737327814102173, '0': -2.0706076622009277, '4': -3.6956076622009277}"
1402,57,"{'2': -0.7626246809959412, '3': -0.8876246809959412, '1': -2.137624740600586, '0': -5.840749740600586, '4': -7.121999740600586}"
41581,58,"{'4': -0.1404879093170166, '3': -2.0623629093170166, '2': -5.9842376708984375, '1': -7.3436126708984375, '0': -9.679550170898438}"
48081,59,"{'3': -0.4231575131416321, '4': -1.0950324535369873, '2': -4.845032691955566, '1': -6.282532691955566, '0': -9.095032691955566}"
12449,60,"{'3': -0.4573715329170227, '4': -1.066746473312378, '2': -4.113621711730957, '1': -5.535496711730957, '0': -7.957371711730957}"
46066,61,"{'3': -0.23971997201442719, '4': -2.427219867706299, '2': -3.036594867706299, '1': -3.911594867706299, '0': -4.614719867706299}"
37829,62,"{'3': -0.16127480566501617, '2': -2.6768999099731445, '4': -2.8800249099731445, '1': -3.8487749099731445, '0': -6.1925249099731445}"
1192,63,"{'3': -0.6298807859420776, '4': -0.8955057859420776, '2': -4.786130905151367, '1': -6.598630905151367, '0': -7.418943405151367}"
44768,64,"{'3': -0.16510941088199615, '4': -2.352609395980835, '2': -3.133859395980835, '1': -4.383859634399414, '0': -7.102609634399414}"
33748,65,"{'3': -0.1716317981481552, '2': -2.4841318130493164, '4': -3.0622568130493164, '1': -3.6716318130493164, '0': -6.343506813049316}"
13741,66,"{'3': -0.15366794168949127, '4': -2.02866792678833, '2': -4.68491792678833, '1': -6.52866792678833, '0': -9.841168403625488}"
25323,67,"{'3': -0.48123717308044434, '4': -0.9812371730804443, '2': -5.121862411499023, '1': -6.996862411499023, '0': -10.418737411499023}"
6831,68,"{'4': -0.045081403106451035, '3': -3.154456377029419, '2': -6.920081615447998, '1': -8.57633113861084, '0': -10.64664363861084}"
43075,69,"{'3': -0.18162357807159424, '4': -1.8691235780715942, '2': -4.572248458862305, '1': -6.650373458862305, '0': -10.384748458862305}"
48594,70,"{'2': -1.1953493356704712, '1': -1.4140993356704712, '3': -1.4609743356704712, '0': -1.5547243356704712, '4': -4.585974216461182}"
16311,71,"{'3': -0.5371502637863159, '4': -0.8965252637863159, '2': -5.0996503829956055, '1': -7.0527753829956055, '0': -9.732462882995605}"
48957,72,"{'3': -0.24072809517383575, '4': -1.7094781398773193, '2': -3.6626031398773193, '1': -5.03760290145874, '0': -7.64697790145874}"
38719,73,"{'3': -0.5589176416397095, '4': -0.9495426416397095, '2': -5.24641752243042, '1': -6.69954252243042, '0': -7.80110502243042}"
17090,74,"{'2': -0.8491591215133667, '3': -1.2241591215133667, '1': -1.6460341215133667, '0': -2.6147842407226562, '4': -4.427284240722656}"
5391,75,"{'0': -0.27187293767929077, '1': -2.2249979972839355, '2': -2.2718729972839355, '3': -3.7249979972839355, '4': -6.0687479972839355}"
35794,76,"{'3': -0.17308776080608368, '4': -2.2043378353118896, '2': -3.4543378353118896, '1': -4.6262125968933105, '0': -6.7199625968933105}"
42107,77,"{'4': -0.6831193566322327, '3': -0.7143693566322327, '2': -5.683119297027588, '1': -7.636244297027588, '0': -10.675307273864746}"
20695,78,"{'2': -0.9435741901397705, '1': -1.3654491901397705, '3': -1.5060741901397705, '0': -2.0373241901397705, '4': -5.849823951721191}"
14184,79,"{'1': -0.5863726139068604, '2': -0.9301226139068604, '0': -3.5707476139068604, '3': -3.8832476139068604, '4': -10.500434875488281}"
48140,80,"{'3': -0.6580289006233215, '4': -0.7361539006233215, '2': -5.908029079437256, '1': -8.048653602600098, '0': -11.087716102600098}"
41025,81,"{'3': -0.3322029113769531, '4': -1.9884529113769531, '2': -2.425952911376953, '1': -3.144702911376953, '0': -4.269702911376953}"
34714,82,"{'3': -0.45883697271347046, '4': -1.0213370323181152, '2': -5.458837032318115, '1': -7.427587032318115, '0': -9.693211555480957}"
48242,83,"{'3': -0.20913782715797424, '4': -1.9122627973556519, '2': -3.4591379165649414, '1': -4.756012916564941, '0': -7.318512916564941}"
26845,84,"{'4': -0.5012030601501465, '3': -0.9543280601501465, '2': -4.8918280601501465, '1': -6.6730780601501465, '0': -8.923078536987305}"
8070,85,"{'4': -0.6962727308273315, '3': -0.7118977308273315, '2': -4.961897850036621, '1': -6.352522850036621, '0': -8.180647850036621}"
24948,86,"{'3': -0.3785664439201355, '4': -2.1598165035247803, '2': -2.1598165035247803, '1': -2.7535665035247803, '0': -3.8941915035247803}"
12635,87,"{'4': -0.10855725407600403, '3': -2.2960572242736816, '2': -6.483557224273682, '1': -8.10855770111084, '0': -10.13199520111084}"
29293,88,"{'3': -0.163179412484169, '4': -2.631929397583008, '2': -2.741304397583008, '1': -4.319429397583008, '0': -7.647554397583008}"
12271,89,"{'3': -0.4992349147796631, '4': -1.077359914779663, '2': -4.764860153198242, '1': -6.483610153198242, '0': -7.717985153198242}"
28981,90,"{'4': -0.2167937010526657, '3': -1.6542936563491821, '2': -6.169918537139893, '1': -7.873043537139893, '0': -10.05273151397705}"
43872,91,"{'3': -0.24425725638866425, '4': -2.0567572116851807, '2': -2.9473822116851807, '1': -3.6036322116851807, '0': -4.88488245010376}"
7737,92,"{'4': -0.2987702488899231, '3': -1.3612701892852783, '2': -6.517520427703857, '1': -8.1425199508667, '0': -10.3143949508667}"
16019,93,"{'0': -0.7449929118156433, '1': -1.088742971420288, '2': -1.760617971420288, '3': -4.135617733001709, '4': -7.823117733001709}"
37045,94,"{'3': -0.27087774872779846, '2': -2.4740028381347656, '4': -2.4896278381347656, '1': -2.9115028381347656, '0': -4.192752838134766}"
49409,95,"{'3': -0.4769909977912903, '4': -1.0551159381866455, '2': -3.6801159381866455, '1': -5.273866176605225, '0': -7.508241176605225}"
47899,96,"{'4': -0.6306455135345459, '3': -0.7868955135345459, '2': -4.818145751953125, '1': -6.677520751953125, '0': -9.036895751953125}"
30201,97,"{'3': -0.27410373091697693, '4': -1.4928537607192993, '2': -4.43035364151001, '1': -5.89910364151001, '0': -8.899104118347168}"
12334,98,"{'3': -0.127275750041008, '4': -2.2366507053375244, '2': -4.4554009437561035, '1': -7.1116509437561035, '0': -11.291337966918945}"
49530,99,"{'4': -0.525100588798523, '3': -0.931350588798523, '2': -4.5407257080078125, '1': -5.7594757080078125, '0': -8.384475708007812}"
26115,100,"{'3': -0.8613995313644409, '2': -0.9707745313644409, '1': -1.908274531364441, '0': -3.1426496505737305, '4': -5.0332746505737305}"
11314,101,"{'3': -0.4894149899482727, '2': -2.098789930343628, '4': -2.255039930343628, '1': -2.442539930343628, '0': -2.630039930343628}"
5650,102,"{'3': -0.3408421576023102, '4': -1.3877171277999878, '2': -3.5283422470092773, '1': -4.762717247009277, '0': -6.887717247009277}"
33903,103,"{'3': -0.9765597581863403, '2': -1.0546847581863403, '1': -1.5546847581863403, '0': -2.882809638977051, '4': -4.882809638977051}"
10634,104,"{'2': -0.8439212441444397, '3': -0.8751712441444397, '1': -2.093921184539795, '0': -4.062671184539795, '4': -4.687671184539795}"
26214,105,"{'3': -0.21437856554985046, '2': -2.511253595352173, '4': -3.042503595352173, '1': -3.448753595352173, '0': -4.698753356933594}"
9453,106,"{'4': -0.23241932690143585, '3': -1.6074193716049194, '2': -5.388669490814209, '1': -6.607419490814209, '0': -8.13866901397705}"
9411,107,"{'0': -0.7218964099884033, '2': -1.4875214099884033, '1': -1.7687714099884033, '3': -2.2062714099884033, '4': -5.221896171569824}"
686,108,"{'3': -0.33205634355545044, '2': -1.8945562839508057, '4': -2.7383062839508057, '1': -2.9726812839508057, '0': -4.425806522369385}"
16823,109,"{'4': -0.5880606174468994, '3': -0.8380606174468994, '2': -4.71306037902832, '1': -6.11931037902832, '0': -8.46306037902832}"
37890,110,"{'3': -0.147709921002388, '4': -2.257084846496582, '2': -3.678959846496582, '1': -5.178959846496582, '0': -8.507084846496582}"
7574,111,"{'3': -0.5158485174179077, '4': -0.9845985174179077, '2': -3.7814736366271973, '1': -5.515848636627197, '0': -8.398660659790039}"
38840,112,"{'3': -0.08340264856815338, '2': -3.161527633666992, '4': -3.536527633666992, '1': -4.802152633666992, '0': -8.942777633666992}"
21953,113,"{'3': -0.13138623535633087, '4': -2.2407612800598145, '2': -4.2563862800598145, '1': -6.0220112800598145, '0': -10.287635803222656}"
16356,114,"{'3': -0.5231549739837646, '2': -1.5075299739837646, '1': -2.3044049739837646, '4': -3.0856549739837646, '0': -3.2887799739837646}"
7896,115,"{'3': -0.21423904597759247, '4': -2.2611141204833984, '2': -2.8079891204833984, '1': -3.9017391204833984, '0': -5.432989120483398}"
23646,116,"{'3': -0.5248287320137024, '2': -1.5092036724090576, '1': -2.6185786724090576, '4': -2.6342036724090576, '0': -3.1810786724090576}"
22607,117,"{'4': -0.40163418650627136, '3': -1.1203842163085938, '2': -5.636009216308594, '1': -7.073509216308594, '0': -9.651634216308594}"
4267,118,"{'2': -0.8552062511444092, '1': -0.9020812511444092, '3': -2.433331251144409, '0': -2.511456251144409, '4': -9.448956489562988}"
26915,119,"{'3': -0.24304695427417755, '4': -2.071171998977661, '2': -3.914921998977661, '1': -4.774296760559082, '0': -5.336796760559082}"
40331,120,"{'3': -0.2316121757030487, '4': -2.231612205505371, '2': -2.684737205505371, '1': -3.575362205505371, '0': -5.981612205505371}"
3581,121,"{'3': -0.3485223948955536, '4': -1.332897424697876, '2': -4.176647186279297, '1': -5.614147186279297, '0': -7.239147186279297}"
41018,122,"{'3': -0.41519832611083984, '4': -1.4308233261108398, '2': -2.68082332611084, '1': -3.74332332611084, '0': -4.88394832611084}"
43300,123,"{'4': -0.3472284972667694, '3': -1.2378535270690918, '2': -6.284728527069092, '1': -7.972228527069092, '0': -10.651915550231934}"
46711,124,"{'3': -1.1371667385101318, '2': -1.2152917385101318, '0': -1.4496667385101318, '1': -2.168416738510132, '4': -3.449666738510132}"
13308,125,"{'3': -0.7950935959815979, '2': -1.4200935363769531, '1': -1.8888435363769531, '0': -2.154468536376953, '4': -3.279468536376953}"
38052,126,"{'3': -0.35124531388282776, '4': -1.3356202840805054, '2': -3.773120403289795, '1': -4.898120403289795, '0': -6.804370403289795}"
37950,127,"{'4': -0.6062673330307007, '3': -0.8093923330307007, '2': -5.15314245223999, '1': -6.66876745223999, '0': -8.262516975402832}"
38433,128,"{'1': -1.054306983947754, '2': -1.054306983947754, '3': -1.757431983947754, '0': -2.054306983947754, '4': -6.163681983947754}"
29026,129,"{'3': -0.48738521337509155, '4': -0.9873852133750916, '2': -5.034260272979736, '1': -6.409260272979736, '0': -8.471759796142578}"
3101,130,"{'1': -0.6850382089614868, '2': -0.7475382089614868, '0': -4.138163089752197, '3': -5.106913089752197, '4': -11.364726066589355}"
1832,131,"{'3': -0.1593310832977295, '2': -2.0968310832977295, '1': -4.159331321716309, '4': -4.784331321716309, '0': -8.268706321716309}"
46846,132,"{'2': -0.8187382221221924, '3': -0.9749882221221924, '1': -1.7874882221221924, '0': -4.818737983703613, '4': -5.849987983703613}"
17601,133,"{'4': -0.43395504355430603, '3': -1.0902050733566284, '2': -4.512080192565918, '1': -5.746455192565918, '0': -7.543330192565918}"
20950,134,"{'3': -0.18904589116573334, '2': -2.2202959060668945, '4': -3.4077959060668945, '1': -3.6109209060668945, '0': -6.8609209060668945}"
19924,135,"{'4': -0.15842527151107788, '3': -1.9396753311157227, '2': -6.236550331115723, '1': -7.564675331115723, '0': -10.017800331115723}"
29478,136,"{'3': -0.503371000289917, '2': -1.925246000289917, '1': -2.175246000289917, '0': -2.581496000289917, '4': -2.831496000289917}"
17037,137,"{'3': -0.22706955671310425, '4': -1.805194616317749, '2': -3.523944616317749, '1': -4.80519437789917, '0': -7.19581937789917}"
31516,138,"{'3': -0.2953421175479889, '4': -1.6703420877456665, '2': -3.326592206954956, '1': -4.373466968536377, '0': -5.389091968536377}"
26033,139,"{'3': -0.1945924162864685, '4': -2.1477174758911133, '2': -3.2258424758911133, '1': -4.413342475891113, '0': -6.882092475891113}"
25490,140,"{'3': -0.5157645344734192, '4': -0.9220145344734192, '2': -5.4688897132873535, '1': -7.2345147132873535, '0': -10.156389236450195}"
46657,141,"{'3': -0.12148290127515793, '4': -2.5746078491210938, '2': -3.4027328491210938, '1': -5.402732849121094, '0': -8.496482849121094}"
38578,142,"{'0': -1.2356743812561035, '1': -1.2356743812561035, '2': -1.3137993812561035, '3': -1.9231743812561035, '4': -5.6887993812561035}"
45835,143,"{'3': -0.23611551523208618, '4': -1.7517404556274414, '2': -3.4704904556274414, '1': -5.361115455627441, '0': -8.329865455627441}"
44820,144,"{'3': -0.5982733368873596, '4': -0.8170233368873596, '2': -5.051398277282715, '1': -6.332648277282715, '0': -8.754523277282715}"
39890,145,"{'3': -0.2547317445278168, '4': -1.6297317743301392, '2': -3.7703566551208496, '1': -5.25473165512085, '0': -8.035982131958008}"
24908,146,"{'4': -0.4860879182815552, '3': -0.9704629182815552, '2': -5.329837799072266, '1': -7.032962799072266, '0': -9.642337799072266}"
36126,147,"{'2': -0.7886367440223694, '1': -1.1636366844177246, '0': -1.8667616844177246, '3': -2.5542616844177246, '4': -7.788636684417725}"
14889,148,"{'3': -0.3515433073043823, '4': -1.2890433073043823, '2': -4.117168426513672, '1': -5.726543426513672, '0': -8.367168426513672}"
46827,149,"{'3': -0.1286393254995346, '4': -2.7848892211914062, '2': -3.1130142211914062, '1': -4.347389221191406, '0': -6.675514221191406}"
43131,150,"{'4': -0.3104292154312134, '3': -1.3885542154312134, '2': -5.732304096221924, '1': -7.185429096221924, '0': -8.068242073059082}"
23175,151,"{'4': -0.1374540627002716, '3': -2.074954032897949, '2': -6.262454032897949, '1': -7.778079032897949, '0': -9.62182903289795}"
32857,152,"{'3': -0.451114684343338, '4': -1.0761146545410156, '2': -4.341739654541016, '1': -5.482364654541016, '0': -7.529239654541016}"
5141,153,"{'1': -0.6331707239151001, '2': -1.1175457239151, '0': -2.1175456047058105, '3': -3.8519206047058105, '4': -8.867546081542969}"
34789,154,"{'3': -0.3407442271709442, '4': -1.2938692569732666, '2': -4.4032440185546875, '1': -6.4657440185546875, '0': -9.340744018554688}"
22001,155,"{'3': -0.9232983589172363, '2': -0.9701733589172363, '1': -2.1107983589172363, '0': -2.4076733589172363, '4': -4.532673358917236}"
12494,156,"{'4': -0.08016213029623032, '3': -2.5801620483398438, '2': -7.033287048339844, '1': -8.548912048339844, '0': -10.822349548339844}"
42332,157,"{'2': -0.8209167718887329, '3': -0.8209167718887329, '1': -2.2271666526794434, '0': -5.102166652679443, '4': -5.258416652679443}"
1919,158,"{'3': -0.21422336995601654, '4': -2.0892233848571777, '2': -2.9017233848571777, '1': -4.339223384857178, '0': -7.026723384857178}"
23793,159,"{'3': -0.2091057151556015, '4': -1.7091057300567627, '2': -5.084105491638184, '1': -6.787230491638184, '0': -9.568480491638184}"
35604,160,"{'4': -0.49176424741744995, '3': -0.96051424741745, '2': -5.444889068603516, '1': -6.913639068603516, '0': -9.194889068603516}"
11130,161,"{'3': -0.2578876316547394, '2': -1.773512601852417, '1': -3.336012601852417, '4': -3.914137601852417, '0': -6.554762840270996}"
47202,162,"{'3': -0.29588019847869873, '4': -1.8427551984786987, '2': -2.7802553176879883, '1': -3.5927553176879883, '0': -4.889630317687988}"
4948,163,"{'3': -0.20454564690589905, '4': -2.095170736312866, '2': -3.126420736312866, '1': -4.563920497894287, '0': -6.610795497894287}"
17862,164,"{'2': -0.644119918346405, '1': -1.1441199779510498, '3': -1.9722449779510498, '0': -4.081619739532471, '4': -8.940995216369629}"
3,165,"{'3': -0.398846298456192, '2': -1.3988462686538696, '1': -2.711346387863159, '4': -4.69572114944458, '0': -5.16447114944458}"
15365,166,"{'3': -0.43746140599250793, '4': -1.2812113761901855, '2': -4.3593363761901855, '1': -5.6249613761901855, '0': -6.1718363761901855}"
49891,167,"{'3': -0.37724438309669495, '4': -1.2053693532943726, '2': -4.439744472503662, '1': -6.267869472503662, '0': -8.814743995666504}"
6946,168,"{'4': -0.3521611988544464, '3': -1.227161169052124, '2': -5.899036407470703, '1': -7.586536407470703, '0': -10.086536407470703}"
24396,169,"{'3': -0.4103212356567383, '2': -2.0353212356567383, '4': -2.3478212356567383, '1': -2.6446962356567383, '0': -3.3478212356567383}"
