comment_id,index,label_logprobs
47777,0,"{'3': -0.0754597932100296, '2': -3.2473347187042236, '4': -3.4192097187042236, '1': -6.981709957122803, '0': -11.544209480285645}"
39773,1,"{'3': -0.39657312631607056, '2': -1.7090730667114258, '4': -2.115323066711426, '1': -3.849698066711426, '0': -5.630948066711426}"
47101,2,"{'3': -0.34574511647224426, '4': -1.3613700866699219, '2': -3.392620086669922, '1': -6.173870086669922, '0': -9.033245086669922}"
43625,3,"{'3': -0.5181831121444702, '2': -1.0963081121444702, '1': -2.9400582313537598, '4': -4.15880823135376, '0': -6.48693323135376}"
12538,4,"{'3': -1.0199558734893799, '2': -1.2699558734893799, '0': -2.42620587348938, '4': -2.62933087348938, '1': -3.45745587348938}"
11001,5,"{'3': -0.7512720823287964, '2': -1.0012720823287964, '1': -2.282522201538086, '4': -3.095022201538086, '0': -4.407522201538086}"
13168,6,"{'3': -0.7003399729728699, '4': -1.3409650325775146, '2': -1.9347150325775146, '0': -2.9815900325775146, '1': -3.0909650325775146}"
17034,7,"{'0': -0.9917459487915039, '3': -1.413620948791504, '4': -1.632370948791504, '2': -2.147995948791504, '1': -2.663620948791504}"
40171,8,"{'3': -0.5586732029914856, '4': -1.4492981433868408, '2': -1.8711731433868408, '1': -3.433673143386841, '0': -5.23054838180542}"
1006,9,"{'0': -0.9273449778556824, '3': -1.4429700374603271, '2': -1.6929700374603271, '4': -2.224220037460327, '1': -2.864845037460327}"
23643,10,"{'3': -0.1914117932319641, '4': -1.8320367336273193, '2': -4.300786972045898, '1': -7.878911972045898, '0': -11.996099472045898}"
14241,11,"{'3': -0.4239901900291443, '2': -1.533365249633789, '1': -2.642740249633789, '4': -2.939615249633789, '0': -5.189615249633789}"
20583,12,"{'3': -0.0889304056763649, '4': -2.917055368423462, '2': -3.510805368423462, '1': -6.917055606842041, '0': -12.042055130004883}"
30879,13,"{'3': -0.5762823820114136, '2': -1.1544073820114136, '1': -2.513782501220703, '4': -3.310657501220703, '0': -5.326282501220703}"
29527,14,"{'3': -0.4190499484539032, '4': -1.9190499782562256, '2': -1.9346749782562256, '1': -3.2159249782562256, '0': -4.7002997398376465}"
23016,15,"{'3': -0.5897900462150574, '2': -1.2929151058197021, '4': -2.714790105819702, '1': -2.792915105819702, '0': -3.699165105819702}"
22819,16,"{'3': -0.7061610817909241, '2': -1.3467860221862793, '4': -1.9249110221862793, '1': -2.5342860221862793, '0': -3.8936610221862793}"
36534,17,"{'4': -0.44225868582725525, '3': -1.2391337156295776, '2': -3.317258596420288, '0': -3.926633596420288, '1': -4.457883834838867}"
7287,18,"{'3': -0.729400634765625, '2': -1.416900634765625, '4': -2.041900634765625, '1': -2.307525634765625, '0': -3.135650634765625}"
32074,19,"{'3': -0.5657969117164612, '2': -0.9720469117164612, '1': -3.4251718521118164, '4': -4.190796852111816, '0': -5.143921852111816}"
46526,20,"{'3': -0.7286310195922852, '2': -1.0880060195922852, '1': -2.322381019592285, '4': -2.588006019592285, '0': -4.947381019592285}"
30683,21,"{'3': -0.7517011165618896, '2': -1.2204511165618896, '1': -2.1892011165618896, '4': -2.4079511165618896, '0': -3.4704511165618896}"
