comment_id,index,label_logprobs
47777,0,"{'3': -0.5044128894805908, '2': -1.3012878894805908, '1': -2.395037889480591, '4': -3.738787889480591, '0': -4.816912651062012}"
39773,1,"{'2': -0.8503157496452332, '3': -1.037815809249878, '1': -2.147190809249878, '0': -2.584690809249878, '4': -3.803440809249878}"
47101,2,"{'3': -0.2137823849916458, '4': -2.13565731048584, '2': -2.83878231048584, '1': -4.22940731048584, '0': -7.85440731048584}"
43625,3,"{'3': -0.3822471499443054, '2': -1.6947472095489502, '1': -2.69474720954895, '4': -2.97599720954895, '0': -6.210371971130371}"
12538,4,"{'3': -0.5080673694610596, '4': -1.6330673694610596, '2': -2.6018173694610596, '1': -3.9924423694610596, '0': -4.1486921310424805}"
11001,5,"{'3': -0.5765618681907654, '2': -1.5765619277954102, '1': -2.01406192779541, '4': -2.68593692779541, '0': -3.70156192779541}"
13168,6,"{'3': -0.43980497121810913, '4': -1.392930030822754, '2': -2.861680030822754, '1': -3.314805030822754, '0': -4.392930030822754}"
17034,7,"{'3': -0.7470605969429016, '4': -0.8720605969429016, '2': -3.106435537338257, '1': -3.481435537338257, '0': -3.559560537338257}"
40171,8,"{'3': -0.24042116105556488, '4': -2.0060460567474365, '2': -2.8966710567474365, '1': -3.7560460567474365, '0': -7.646671295166016}"
1006,9,"{'3': -0.5461249947547913, '4': -1.2179999351501465, '2': -2.8742499351501465, '0': -3.3898749351501465, '1': -3.7179999351501465}"
23643,10,"{'2': -0.14642061293125153, '1': -2.69329571723938, '3': -3.39642071723938, '0': -3.41204571723938, '4': -6.396420478820801}"
14241,11,"{'3': -0.5527042150497437, '2': -1.5370792150497437, '1': -1.9277042150497437, '4': -2.958954334259033, '0': -4.427704334259033}"
20583,12,"{'3': -0.5963962078094482, '2': -1.0651462078094482, '1': -2.3620212078094482, '4': -5.049521446228027, '0': -5.643271446228027}"
30879,13,"{'3': -0.4324568510055542, '2': -1.6668318510055542, '1': -2.2293319702148438, '4': -3.0887069702148438, '0': -5.041831970214844}"
