comment_id,index,label_logprobs
47777,0,"{'2': -0.029962267726659775, '0': -3.7799623012542725, '1': -5.029962062835693, '3': -8.779962539672852, '4': -13.404962539672852}"
39773,1,"{'2': -0.13645124435424805, '1': -2.886451244354248, '0': -2.886451244354248, '3': -4.136451244354248, '4': -10.636451721191406}"
47101,2,"{'3': -0.6933915019035339, '4': -0.6933915019035339, '2': -8.318391799926758, '1': -14.943391799926758, '0': -23.943391799926758}"
43625,3,"{'3': -0.0802808403968811, '2': -3.0802807807922363, '4': -3.5802807807922363, '1': -5.705280780792236, '0': -14.830281257629395}"
12538,4,"{'4': -0.0001234931987710297, '3': -9.000123023986816, '2': -16.500123977661133, '1': -22.250123977661133, '0': -24.250123977661133}"
11001,5,"{'3': -0.6811807155609131, '2': -1.181180715560913, '1': -1.681180715560913, '4': -7.181180953979492, '0': -8.806180953979492}"
13168,6,"{'4': -0.0009115354623645544, '3': -7.000911712646484, '2': -17.375911712646484, '1': -24.125911712646484, '0': -28.938411712646484}"
17034,7,"{'4': -6.198863957251888e-06, '3': -12.000005722045898, '2': -21.8750057220459, '1': -27.0000057220459, '0': -30.1875057220459}"
40171,8,"{'3': -0.012956364080309868, '4': -4.512956142425537, '2': -6.262956142425537, '1': -13.637956619262695, '0': -24.012956619262695}"
1006,9,"{'4': -0.0004306104383431375, '3': -7.750430583953857, '2': -17.875431060791016, '1': -24.250431060791016, '0': -29.000431060791016}"
23643,10,"{'2': -0.13511118292808533, '0': -2.385111093521118, '1': -3.385111093521118, '3': -7.760111331939697, '4': -13.010110855102539}"
14241,11,"{'1': -0.7012577652931213, '2': -0.7012577652931213, '3': -5.451257705688477, '0': -5.576257705688477, '4': -16.451257705688477}"
20583,12,"{'2': -0.08736736327409744, '1': -3.087367296218872, '3': -3.962367296218872, '0': -3.962367296218872, '4': -13.337367057800293}"
30879,13,"{'2': -0.22437560558319092, '1': -2.0993757247924805, '0': -2.9743757247924805, '3': -3.5993757247924805, '4': -10.34937572479248}"
29527,14,"{'4': -3.564294092939235e-05, '3': -10.250035285949707, '2': -17.000036239624023, '1': -23.125036239624023, '0': -26.375036239624023}"
23016,15,"{'3': -0.08849196881055832, '4': -2.588491916656494, '2': -4.713491916656494, '1': -7.463491916656494, '0': -11.588492393493652}"
22819,16,"{'3': -0.11405560374259949, '2': -2.864055633544922, '4': -3.614055633544922, '1': -3.739055633544922, '0': -10.239055633544922}"
