Results:
    attribute  correlation  avg_confidence  count
       insult     0.760388        0.785338    152
    humiliate     0.709250        0.796687    156
attack_defend     0.613846        0.832739    157
   dehumanize     0.569322        0.925280    185
   hatespeech     0.487088        0.941431    188
     violence     0.465571        0.934841    191
     genocide     0.396415        0.948937    179
       status    -0.331510        0.814211    157
    sentiment    -0.581513        0.764167    139
      respect    -0.609287        0.931271    194
